NAME,LABEL,SHORTLABEL,STATUS,DESIGNATION_DATE,EDIT_DATE,UNIQUEID,GIS_ID,OBJECTID,SHAPEAREA,SHAPELEN
Brodhead-Bell-Morton House (Levi P. Morton House),Brodhead-Bell-Morton House,Bell-Morton Hse,Designated,,2006/12/29 05:00:00+00,L_0154,,199313,0,0
Barber-Caperton House (and Gazebo),Barber-Caperton House,Barber-Caperton,Designated,,2006/12/29 05:00:00+00,L_0155,,199314,0,0
"Coues, Elliott House",Elliott Coues House,Coues House,Designated,,2006/12/29 05:00:00+00,L_0156,,199315,0,0
Beall-Peter-Dick House,Beall-Peter-Dick House,Beall-Peter Hse,Designated,,2006/12/29 05:00:00+00,L_0157,,199316,0,0
"Walker, John House (Issac Owens House; Gannt- Williams House)",John Walker House,Walker Hse,Designated,,2006/12/29 05:00:00+00,L_0158,,199317,0,0
"Haw, John Stoddert House",John Stoddert Haw House,Haw Hse,Designated,,2006/12/29 05:00:00+00,L_0159,,199318,0,0
National City Christian Church,Natl City Christian Church,Natl City Church,Designated,,2006/12/29 05:00:00+00,L_0160,,199319,0,0
Riggs-Riley House,Riggs-Riley House,Riggs-Riley Hse,Designated,,2006/12/29 05:00:00+00,L_0162,,199320,0,0
Saint Matthew's Cathedral and Rectory,St Matthew's Cathedral/Rectory,St Matthew's Cath,Designated,,2006/12/29 05:00:00+00,L_0163,,199321,0,0
"Lutz, John House (Aged Woman's Home; Female Union Benevolent Society)",John Lutz House,Lutz House,Designated,,2006/12/29 05:00:00+00,L_0164,,199322,0,0
Proctor Alley Livery Stable,Proctor Alley Livery Stable,Proctor Stable,Designated,,2006/12/29 05:00:00+00,L_0165,,199323,0,0
Federal-American National Bank (and Interiors),Federal-American Natl Bank,Fed-American Bank,Designated,,2006/12/29 05:00:00+00,L_0254,,199324,0,0
Pension Building (National Building Museum),Pension Building,Pension Building,Designated,,2006/12/29 05:00:00+00,L_0255,,199325,0,0
"White House, The",The White House,White House,Designated,,2006/12/29 05:00:00+00,L_0256,,199326,0,0
Equitable Cooperative Building Association (and Interior),Equitable Building Association,Equitable Bldg Assn,Designated,,2006/12/29 05:00:00+00,L_0257,,199327,0,0
Baltimore Sun Building (American Bank Building),Baltimore Sun Bldg,Baltimore Sun,Designated,,2006/12/29 05:00:00+00,L_0258,,199328,0,0
Winder Building,Winder Bldg.,Winder Bldg,Designated,,2006/12/29 05:00:00+00,L_0259,,199329,0,0
"Ray, Alexander, House (Steedman-Ray House)",Alexander Ray House,Ray House,Designated,,2006/12/29 05:00:00+00,L_0260,,199330,0,0
Harris & Ewing Photographic Studio,Harris & Ewing Photo Studio,Harris & Ewing ,Designated,,2006/12/29 05:00:00+00,L_0261,,199331,0,0
"Roosevelt, The",The Roosevelt,The Roosevelt ,Designated,,2006/12/29 05:00:00+00,L_0262,,199332,0,0
National Union Building,National Union Bldg,Natl Union Bldg,Designated,,2006/12/29 05:00:00+00,L_0263,,199333,0,0
General Post Office (General Land Office),General Post Office,General Post Office,Designated,,2006/12/29 05:00:00+00,L_0264,,199334,0,0
"Petersen, William, House",Petersen House,Petersen House,Designated,,2006/12/29 05:00:00+00,L_0265,,199335,0,0
Octagon House (John Tayloe House),Octagon House,Octagon House,Designated,,2006/12/29 05:00:00+00,L_0266,,199336,0,0
Court of Appeals (U.S. Court of Military Appeals),Court of Appeals,Court of Appeals,Designated,,2006/12/29 05:00:00+00,L_0267,,199337,0,0
Engine Company No. 3,Engine Company 3,Engine Co 3,Designated,,2006/12/29 05:00:00+00,L_0268,,199338,0,0
Evening Star Building,Evening Star Building,Evening Star ,Designated,,2006/12/29 05:00:00+00,L_0269,,199339,0,0
Old City Hall (District of Columbia Court of Appeals),Old City Hall,Old City Hall,Designated,,2006/12/29 05:00:00+00,L_0270,,199340,0,0
Department of the Interior (New Interior Building),Department of the Interior,Interior Dept,Designated,,2006/12/29 05:00:00+00,L_0271,,199341,0,0
District Building (John A. Wilson Bldg.),District Building,District Building,Designated,,2006/12/29 05:00:00+00,L_0272,,199342,0,0
"Old Naval Observatory (National Observatory; Naval Museum of Hygiene; Naval Medical School)",Old Naval Observatory,Naval Observatory,Designated,,2006/12/29 05:00:00+00,L_0273,,199343,0,0
American National Red Cross,American National Red Cross,Natl Red Cross,Designated,,2006/12/29 05:00:00+00,L_0274,,199344,0,0
Senator Theater (Entrance Pavilion),Senator Theater,Senator Theater,Designated,,2006/12/29 05:00:00+00,L_0275,,199345,0,0
"Gallaudet University, President's House",GU President's House,GU President's Hse,Designated,,2006/12/29 05:00:00+00,L_0166,,199346,0,0
"Knowles, William House",William Knowles House,Knowles Hse,Designated,,2006/12/29 05:00:00+00,L_0167,,199347,0,0
"Sumner, Charles School",Charles Sumner School,Sumner School,Designated,,2006/12/29 05:00:00+00,L_0168,,199348,0,0
"Gallaudet University, Chapel Hall",Chapel Hall,Chapel Hall,Designated,,2006/12/29 05:00:00+00,L_0169,,199349,0,0
Georgetown Custom House and Post Office,Custom House and Post Office,Custom House/PO,Designated,,2006/12/29 05:00:00+00,L_0170,,199350,0,0
Prospect House (Lingan-Templeman House),Prospect House,Prospect Hse,Designated,,2006/12/29 05:00:00+00,L_0171,,199351,0,0
"Georgetown Commercial Buildings-M St, NW",xxxx M Street,xxxx M St,Designated,,2006/12/29 05:00:00+00,L_0172,,199352,0,0
Demonet Building,Demonet Building,Demonet Bldg,Designated,,2006/12/29 05:00:00+00,L_0173,,199353,0,0
Woodward & Lothrop Service Warehouse,Woodward & Lothrop Warehouse,W & L Warehouse,Designated,,2006/12/29 05:00:00+00,L_0174,,199354,0,0
Metropolitan African Methodist Episcopal Church,Metropolitan AME Church,Metropolitan AME,Designated,,2006/12/29 05:00:00+00,L_0175,,199355,0,0
Georgetown Commercial Buildings - Sims House,Sims House,Sims Hse,Designated,,2006/12/29 05:00:00+00,L_0176,,199356,0,0
Old Stone House,Old Stone House,Old Stone House,Designated,,2006/12/29 05:00:00+00,L_0177,,199357,0,0
Georgetown Commercial Buildings - Thomas Cramphin Building,Cramphin Building,Cramphin Bldg,Designated,,2006/12/29 05:00:00+00,L_0178,,199358,0,0
Elizabeth Arden Building,Elizabeth Arden Building,Arden Bldg,Designated,,2006/12/29 05:00:00+00,L_0179,,199359,0,0
Fletcher Chapel (Church of God & Saints of Christ),Fletcher Chapel,Fletcher Chapel,Designated,,2006/12/29 05:00:00+00,L_0181,,199360,0,0
City Tavern,City Tavern,City Tavern,Designated,,2006/12/29 05:00:00+00,L_0182,,199361,0,0
"Old Engine Company No. 5 (Bank of Columbia; Georgetown Town Hall & Mayor's Office)",Old Engine Company 5,Old Engine Co 5,Designated,,2006/12/29 05:00:00+00,L_0183,,199362,0,0
Georgetown Commercial Buildings - Reckert House,Reckert House,Reckert Hse,Designated,,2006/12/29 05:00:00+00,L_0184,,199363,0,0
Georgetown Market,Georgetown Market,Gtown Market,Designated,,2006/12/29 05:00:00+00,L_0185,,199364,0,0
Church of the Ascension and Saint Agnes,Church of the Ascension & St Agnes,Ascension Church,Designated,,2006/12/29 05:00:00+00,L_0186,,199365,0,0
"Carleton, Joseph House",Carleton House,Carleton House,Designated,,2006/12/29 05:00:00+00,L_0187,,199366,0,0
Washington Canoe Club,Washington Canoe Club,Wash Canoe Club,Designated,,2006/12/29 05:00:00+00,L_0188,,199367,0,0
Mayflower Hotel,Mayflower Hotel,Mayflower Hotel,Designated,,2006/12/29 05:00:00+00,L_0189,,199368,0,0
Russian Embassy (Mrs. George Pullman House),Russian Embassy,Russian Embassy,Designated,,2006/12/29 05:00:00+00,L_0190,,199369,0,0
"McCleery, Henry House",McCleery House,McCleery Hse,Designated,,2006/12/29 05:00:00+00,L_0191,,199370,0,0
"Luzon, The (The Westover)",Luzon Apartments,The Luzon,Designated,,2006/12/29 05:00:00+00,L_0193,,199371,0,0
Duvall Foundry,Duvall Foundry,Duvall Foundry,Designated,,2006/12/29 05:00:00+00,L_0194,,199372,0,0
Grace Church (Grace Protestant Episcopal Church),Grace Church,Grace Church,Designated,,2006/12/29 05:00:00+00,L_0195,,199373,0,0
"Thomson, Strong John, School",Strong John Thomson School,Thomson School,Designated,,2006/12/29 05:00:00+00,L_0196,,199374,0,0
American Federation of Labor,American Federation of Labor,AFL,Designated,,2006/12/29 05:00:00+00,L_0197,,199375,0,0
"Stevens, Thaddeus, School",Stevens School,Stevens School,Designated,,2006/12/29 05:00:00+00,L_0198,,199376,0,0
Tudor Hall (Henley Park Hotel),Tudor Hall,Tudor Hall,Designated,,2006/12/29 05:00:00+00,L_0200,,199377,0,0
Almas Temple,Almas Temple,Almas Temple,Designated,,2006/12/29 05:00:00+00,L_0201,,199378,0,0
Tower Building,Tower Building,Tower Bldg,Designated,,2006/12/29 05:00:00+00,L_0202,,199379,0,0
Carpenters Building,Carpenters Building,Carpenters Bldg,Designated,,2006/12/29 05:00:00+00,L_0203,,199380,0,0
Central Public Library (Carnegie Library),Central Public Library,Central Library,Designated,,2006/12/29 05:00:00+00,L_0204,,199381,0,0
"Franklin, Benjamin, School (& Interiors)",Franklin School,Franklin School,Designated,,2006/12/29 05:00:00+00,L_0205,,199382,0,0
Carlton Hotel (Sheraton-Carlton Hotel),Carlton Hotel,Carlton Hotel,Designated,,2006/12/29 05:00:00+00,L_0206,,199383,0,0
"Champlain, The (Orme Building)",The Champlain,The Champlain,Designated,,2006/12/29 05:00:00+00,L_0207,,199384,0,0
Moran Building,Moran Building,Moran Bldg,Designated,,2006/12/29 05:00:00+00,L_0208,,199385,0,0
"George Washington University, Hattie M. Strong Hall",Strong Hall,Strong Hall,Designated,,2006/12/29 05:00:00+00,L_0209,,199386,0,0
"American Red Cross, D.C. Chapter House","Red Cross, DC Chapter",DC Red Cross,Designated,,2006/12/29 05:00:00+00,L_0210,,199387,0,0
Saint Aloysius Catholic Church,St Aloysius Church,St Aloysius Church,Designated,,2006/12/29 05:00:00+00,L_0211,,199388,0,0
United Mine Workers of America (The University Club),United Mine Workers of America,Mine Workers Bldg,Designated,,2006/12/29 05:00:00+00,L_0212,,199389,0,0
Alibi Club,Alibi Club,Alibi Club,Designated,,2006/12/29 05:00:00+00,L_0213,,199390,0,0
Second Baptist Church,Second Baptist Church,2nd Baptist Church,Designated,,2006/12/29 05:00:00+00,L_0214,,199391,0,0
Southern Building,Southern Building,Southern Bldg,Designated,,2006/12/29 05:00:00+00,L_0216,,199392,0,0
"Jefferson, The",The Jefferson,The Jefferson,Designated,,2006/12/29 05:00:00+00,L_0217,,199393,0,0
Old Engine Company No. 6,Old Engine Company 6,Old Engine Co 6,Designated,,2006/12/29 05:00:00+00,L_0218,,199394,0,0
Masonic Temple (Nat'l Museum of Women in the Arts),Masonic Temple,Masonic Temple,Designated,,2006/12/29 05:00:00+00,L_0219,,199395,0,0
"Decatur, Stephen, House",Decatur House,Decatur House,Designated,,2006/12/29 05:00:00+00,L_0220,,199396,0,0
Government Printing Office,Government Printing Office,Govt Printing Off,Designated,,2006/12/29 05:00:00+00,L_0221,,199397,0,0
Union Trust Company,Union Trust Co.,Union Trust,Designated,,2006/12/29 05:00:00+00,L_0222,,199398,0,0
Mott Motors/Plymouth Theater,Mott Motors/Plymouth Theater,Mott Motors,Designated,,2006/12/29 05:00:00+00,L_0223,,199399,0,0
"Webster, Daniel School",Daniel Webster School,Webster School,Designated,,2006/12/29 05:00:00+00,L_0224,,199400,0,0
"Swartzell, Rheem and Hensey Building","Swartzell, Rheem & Hensey",Swartzell Rheem,Designated,,2006/12/29 05:00:00+00,L_0225,,199401,0,0
Hibbs Building (Folger Building),Hibbs Bldg,Hibbs Bldg,Designated,,2006/12/29 05:00:00+00,L_0226,,199402,0,0
Lisner Auditorium (George Washington University),Lisner Auditorium,Lisner Auditorium,Designated,,2006/12/29 05:00:00+00,L_0227,,199403,0,0
Saint Mary's Catholic Church (Saint Mary Mother of God),St Mary's Church,St Mary's Church,Designated,,2006/12/29 05:00:00+00,L_0228,,199404,0,0
"Chesapeake and Potomac Telephone Company, Dial Exchange",C & P Telephone Dial Exchange,C&P Dial Exchange,Designated,,2006/12/29 05:00:00+00,L_0229,,199405,0,0
"George Washington University, Corcoran Hall",Corcoran Hall,Corcoran Hall,Designated,,2006/12/29 05:00:00+00,L_0230,,199406,0,0
"George Washington University, Stockton Hall",Stockton Hall,Stockton Hall,Designated,,2006/12/29 05:00:00+00,L_0231,,199407,0,0
Treasury Annex,Treasury Annex,Treasury Annex,Designated,,2006/12/29 05:00:00+00,L_0232,,199408,0,0
Renwick Gallery (Old Corcoran Gallery),Renwick Gallery,Renwick Gallery,Designated,,2006/12/29 05:00:00+00,L_0233,,199409,0,0
American Security and Trust Company,American Security and Trust,AS&T,Designated,,2006/12/29 05:00:00+00,L_0234,,199410,0,0
Riggs National Bank,Riggs National Bank,Riggs Natl Bank,Designated,,2006/12/29 05:00:00+00,L_0235,,199411,0,0
Bond Building,Bond Building,Bond Building,Designated,,2006/12/29 05:00:00+00,L_0236,,199412,0,0
Church of the Epiphany,Church of the Epiphany,Epiphany Church,Designated,,2006/12/29 05:00:00+00,L_0237,,199413,0,0
"Wetzel, Margaret, House (George Washington University)",Wetzel House,Wetzel Hse,Designated,,2006/12/29 05:00:00+00,L_0238,,199414,0,0
Harrison Apartments (The Canterbury),Harrison Apartments,The Harrison,Designated,,2006/12/29 05:00:00+00,L_0239,,199415,0,0
"Gales, Joseph, School",Gales School,Gales School,Designated,,2006/12/29 05:00:00+00,L_0240,,199416,0,0
City Post Office,City Post Office,City Post Office,Designated,,2006/12/29 05:00:00+00,L_0241,,199417,0,0
Colorado Building,Colorado Building,Colorado Bldg,Designated,,2006/12/29 05:00:00+00,L_0242,,199418,0,0
Commercial National Bank,Commercial National Bank,Commercial Bank,Designated,,2006/12/29 05:00:00+00,L_0243,,199419,0,0
Second National Bank,Second National Bank,2nd National Bank,Designated,,2006/12/29 05:00:00+00,L_0244,,199420,0,0
Adas Israel Synagogue,Adas Israel Synagogue,Adas Israel ,Designated,,2006/12/29 05:00:00+00,L_0245,,199421,0,0
"George Washington University, President's Office",GWU President's Office,President's Office,Designated,,2006/12/29 05:00:00+00,L_0246,,199422,0,0
"Myrene, The",The Myrene ,The Myrene,Designated,,2006/12/29 05:00:00+00,L_0247,,199423,0,0
Treasury Department,Treasury Department,Treasury Dept,Designated,,2006/12/29 05:00:00+00,L_0248,,199424,0,0
"State, War and Navy Building (Old Executive Office Building; Eisenhower Building)","State, War and Navy Building",State War & Navy,Designated,,2006/12/29 05:00:00+00,L_0249,,199425,0,0
Patent Office (National Portrait Gallery & National Museum of American Art),Old Patent Office ,Patent Office,Designated,,2006/12/29 05:00:00+00,L_0250,,199426,0,0
Concordia United Church of Christ and Rectory (Concordia German Evangelical Church),Concordia Church,Concordia Church,Designated,,2006/12/29 05:00:00+00,L_0251,,199427,0,0
"Underwood, Oscar S., House",Underwood House,Underwood Hse,Designated,,2006/12/29 05:00:00+00,L_0252,,199428,0,0
Homer Building,Homer Bldg,Homer Bldg,Designated,,2006/12/29 05:00:00+00,L_0253,,199429,0,0
"Witherspoon, John, Statue",John Witherspoon Statue,Witherspoon,Designated,,2006/12/29 05:00:00+00,L_0139,,199430,0,0
"Kosciuszko, Thaddeus, Monument",Kosciuszko Monument,Kosciuszko,Designated,,2006/12/29 05:00:00+00,L_0140,,199431,0,0
"Steuben, Baron Frederick von, Monument",Frederick von Steuben Memorial,von Steuben,Designated,,2006/12/29 05:00:00+00,L_0141,,199432,0,0
"Pulaski, Brigadier General Count Casimir, Statue",Casimir Pulaski Statue,Pulaski,Designated,,2006/12/29 05:00:00+00,L_0142,,199433,0,0
"Barry, Commodore John, Statue",John Barry Statue,Barry Statue,Designated,,2006/12/29 05:00:00+00,L_0143,,199434,0,0
